sample_id	dataset_id	axis_score	upstream_score	mmp_score	junction_score	scoring_method	qc_flags
CCFA_Risk_100	GSE57945	0.427759	-0.222722	1.2474	0.258595	signed_within_dataset_zscore_mean	ok
CCFA_Risk_101	GSE57945	0.282491	-0.0358574	0.752249	0.13108	signed_within_dataset_zscore_mean	ok
CCFA_Risk_102	GSE57945	1.35123	1.67682	1.72922	0.64765	signed_within_dataset_zscore_mean	ok
CCFA_Risk_103	GSE57945	-0.26043	-0.844275	0.556617	-0.493634	signed_within_dataset_zscore_mean	ok
CCFA_Risk_104	GSE57945	0.653543	-0.562886	2.22052	0.302995	signed_within_dataset_zscore_mean	ok
CCFA_Risk_105	GSE57945	0.14748	0.553665	-0.678779	0.567554	signed_within_dataset_zscore_mean	ok
CCFA_Risk_106	GSE57945	-0.0177852	0.0982502	0.112392	-0.263998	signed_within_dataset_zscore_mean	ok
CCFA_Risk_107	GSE57945	0.106311	0.0926891	-0.353621	0.579866	signed_within_dataset_zscore_mean	ok
CCFA_Risk_108	GSE57945	-0.119296	0.214937	-0.5696	-0.00322348	signed_within_dataset_zscore_mean	ok
CCFA_Risk_109	GSE57945	1.25906	1.4981	1.02933	1.24975	signed_within_dataset_zscore_mean	ok
CCFA_Risk_110	GSE57945	0.890305	0.091694	1.62005	0.959168	signed_within_dataset_zscore_mean	ok
CCFA_Risk_111	GSE57945	0.837179	1.3322	0.241386	0.937952	signed_within_dataset_zscore_mean	ok
CCFA_Risk_112	GSE57945	0.542278	1.41244	-0.342503	0.556897	signed_within_dataset_zscore_mean	ok
CCFA_Risk_113	GSE57945	0.0683609	1.06687	-1.19854	0.336756	signed_within_dataset_zscore_mean	ok
CCFA_Risk_114	GSE57945	0.686077	1.30968	-0.122892	0.871445	signed_within_dataset_zscore_mean	ok
CCFA_Risk_115	GSE57945	-0.203623	-0.391595	-0.290046	0.0707723	signed_within_dataset_zscore_mean	ok
CCFA_Risk_116	GSE57945	-0.025961	-0.435704	-0.0885592	0.44638	signed_within_dataset_zscore_mean	ok
CCFA_Risk_117	GSE57945	-0.633629	-0.484362	-0.869115	-0.54741	signed_within_dataset_zscore_mean	ok
CCFA_Risk_118	GSE57945	-0.581317	-0.245295	-1.2094	-0.289253	signed_within_dataset_zscore_mean	ok
CCFA_Risk_119	GSE57945	-0.350557	-0.296749	-0.582392	-0.172529	signed_within_dataset_zscore_mean	ok
CCFA_Risk_120	GSE57945	-0.438594	-0.31709	-0.755504	-0.243187	signed_within_dataset_zscore_mean	ok
CCFA_Risk_121	GSE57945	-0.282732	-0.550943	-0.0757994	-0.221455	signed_within_dataset_zscore_mean	ok
CCFA_Risk_122	GSE57945	-0.355095	-0.483772	-0.54653	-0.0349835	signed_within_dataset_zscore_mean	ok
